,ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,points,REGION,PROVINCE,ÇITY,BRGY,PSGC
0,0,Mall of Alnor (MOA),Alnor Prime Properties,7.2015199999999995,124.25079,NT_zI.CrihAEHjvFP8wW022BC,Here WeGo,Here WeGo,2020-02-17,POINT (124.25079 7.20152),REGION XII (SOCCSKSARGEN),COTABATO CITY (Not a Province),COTABATO CITY,Rosary Heights VI,PH129804025
8,8,E-Mall,,7.810389999999999,122.65653,NT_Gj0mqaDZrQURK7cZN06FDB,Here WeGo,Here WeGo,2020-02-17,POINT (122.65653 7.81039),REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,NAGA,La Paz,PH098309007
37,37,Regent Central Commercial Complex,Regent Land Developer Corp.,16.38133,120.68706999999999,NT_5nYAcoC7zJOxr1dw7AttgC,Here WeGo,Here WeGo,2020-02-17,POINT (120.68707 16.38133),REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,ALICIA,Calades,PH098301005
42,42,Xentro Mall Malilipot,,13.3183,123.73993999999999,NT_WeNgp0IMr9LMsMpI2y3i7D,Here WeGo,Here WeGo,2020-02-17,POINT (123.73994 13.3183),REGION V (BICOL REGION),ALBAY,POLANGUI,Ubaliw,PH050514046
47,47,Fragante Citimall,,17.61798,121.7279,NT_8wFXgnp6ppjQVkEiGd6KxC,Here WeGo,Here WeGo,2020-02-17,POINT (121.7279 17.61798),REGION II (CAGAYAN VALLEY),CAGAYAN,TUGUEGARAO CITY (Capital),San Gabriel,PH021529051
61,61,Vista Mall Tuguegarao,Vista Land & Lifescapes,17.62507,121.71799999999999,NT_rDVbDXBbt9BgLTqMilin1B,Here WeGo,Here WeGo,2020-02-17,POINT (121.718 17.62507),REGION II (CAGAYAN VALLEY),CAGAYAN,TUGUEGARAO CITY (Capital),San Gabriel,PH021529051
63,63,SM Center Tuguegarao Downtown,SM Prime Holdings,17.62507,121.71799999999999,NT_rDVbDXBbt9BgLTqMilin1B,Here WeGo,Here WeGo,2020-02-17,POINT (121.718 17.62507),NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,CAUAYAN,Poblacion,PH184507004
102,102,Vista Mall Daang Hari,Vista Land & Lifescapes,14.38064,120.99202,NT_T62GnA.31qnqIOI.-FTd4D,Here WeGo,Here WeGo,2020-02-17,POINT (120.99202 14.38064),NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Dasmariñas,PH137602006
137,137,Gaisano Grand Mall Tandag (Soon to Rise),,9.067839999999999,126.17678000000001,NT_pb-cYv4-MCXy4T5BGUFqDA,Here WeGo,Here WeGo,2020-02-17,POINT (126.17678 9.06784),REGION XIII (Caraga),SURIGAO DEL SUR,CITY OF BISLIG,Kahayag,PH166803023
150,150,Fiesta Mall Paniqui,,15.670279999999998,120.58595,NT_BOxKlWoPwvKUmhSP1Kfm7D,Here WeGo,Here WeGo,2020-02-17,POINT (120.58595 15.67028),REGION III (CENTRAL LUZON),BULACAN,CITY OF MALOLOS (Capital),Caniogan,PH031410020
181,181,Tarlac Central Mall,,15.43595,120.64188999999999,NT_hU38h9Kp9iKFSdSvenEV-D,Here WeGo,Here WeGo,2020-02-17,POINT (120.64189 15.43595),REGION III (CENTRAL LUZON),TARLAC,CITY OF TARLAC (Capital),Central,PH036916027
203,203,Bohol Quality Superstore Jagna,Bohol Quality Corp.,9.65197,124.3702,NT_zidx8Vix1VJm7rQexjZWYA,Here WeGo,Here WeGo,2020-02-17,POINT (124.3702 9.65197),REGION VII (CENTRAL VISAYAS),BOHOL,TUBIGON,Pooc Occidental (Pob.),PH071245026
256,256,SM Seaside City Cebu,SM Prime Holdings,10.28152,123.87964,NT_kY5iuo3PW7.DrZrAMO93QC,Here WeGo,Here WeGo,2020-02-17,POINT (123.87964 10.28152),REGION VII (CENTRAL VISAYAS),BOHOL,TAGBILARAN CITY (Capital),Poblacion I,PH071242010
264,264,Centerpoint Plaza,,16.41303,120.59076,NT_Riw1ikOpgU6aczc8z43VtD,Here WeGo,Here WeGo,2020-02-17,POINT (120.59076 16.41303),CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,BAGUIO CITY,Cabinet Hill-Teacher's Camp,PH141102013
266,266,Maharlika Complex,,8.24905,126.275,NT_pboBxttmbcjc1DwU.gWQeD,Here WeGo,Here WeGo,2020-02-17,POINT (126.275 8.24905),CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,BAGUIO CITY,Rizal Monument Area,PH141102155
271,271,168 Mall,Filipino-Chinese Traders Association (Davao City),7.065739999999999,125.61081000000001,NT_NxJprE090Uv0LMgf215pnD,Here WeGo,Here WeGo,2020-02-17,POINT (125.61081 7.06574),REGION XI (DAVAO REGION),DAVAO DEL SUR,DAVAO CITY,Barangay 35-D (Pob.),PH112402168
290,290,NCCC Mall Davao,New City Commercial Corp.,7.0930800000000005,125.61806999999999,NT_G4gfMIHv.QNnGnIhEIdC5A,Here WeGo,Here WeGo,2020-02-17,POINT (125.61807 7.09308),REGION XI (DAVAO REGION),DAVAO DEL SUR,DAVAO CITY,Barangay 35-D (Pob.),PH112402168
337,337,GT 168 Mall,"Golden Three 168 Trading, Inc.",13.448670000000002,121.84681,NT_04xULAPc.OPimjTw4ba0AA,Here WeGo,Here WeGo,2020-02-17,POINT (121.84681 13.44867),REGION IV-B (MIMAROPA),ORIENTAL MINDORO,CITY OF CALAPAN (Capital),Calero (Pob.),PH175205013
352,352,SBG Strip Mall,,8.23286,124.24146,NT_6tIj9q5N8aAFabWwknU3WB,Here WeGo,Here WeGo,2020-02-17,POINT (124.24146 8.232860000000001),REGION V (BICOL REGION),MASBATE,ESPERANZA,Iligan,PH054109006
353,353,Squarelland Shopping Centre,,11.74502,124.03846000000001,NT_2xXySIBgbPJ7tgVWjKFAuD,Here WeGo,Here WeGo,2020-02-17,POINT (124.03846 11.74502),NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Valencia,PH137404128
363,363,Vista Mall,Vista Land & Lifescapes,8.48586,124.64797,NT_zHm9FRPnOmX3ykeosTTrOC,Here WeGo,Here WeGo,2020-02-17,POINT (124.64797 8.485860000000001),REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital),Barangay 27 (Pob.),PH104305022
366,366,Ororama Supercenter Cogon,Ororama Supercenters Inc.,8.48586,124.64797,NT_zHm9FRPnOmX3ykeosTTrOC,Here WeGo,Here WeGo,2020-02-17,POINT (124.64797 8.485860000000001),REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital),Carmen,PH104305044
368,368,Market City,Ororama Supercenters Inc.,8.48586,124.64797,NT_zHm9FRPnOmX3ykeosTTrOC,Here WeGo,Here WeGo,2020-02-17,POINT (124.64797 8.485860000000001),REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,GINGOOG CITY,Barangay 22 (Pob.),PH104308074
389,389,Capitol Shopping Center,,10.66796,122.9497,NT_PtcEK1EYY-4Vc38ZEuW9fA,Here WeGo,Here WeGo,2020-02-17,POINT (122.9497 10.66796),NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Barangay 24 (Pob.),PH184501020
427,427,Lopue's South Centre,,10.65846,122.98461999999999,NT_tyQMWjATGNwKW5HSa5SGwA,Here WeGo,Here WeGo,2020-02-17,POINT (122.98462 10.65846),REGION VI (WESTERN VISAYAS),ILOILO,ILOILO CITY (Capital),President Roxas,PH063022131
443,443,Street of Festive Walk,Megaworld Corporation,10.70507,122.56786000000001,NT_Ir7XeQ5jv9nNopBBEbB2vB,Here WeGo,Here WeGo,2020-02-17,POINT (122.56786 10.70507),REGION VI (WESTERN VISAYAS),ILOILO,ILOILO CITY (Capital),President Roxas,PH063022131
