Name,Developer,Floor area (m²),Building,City/municipality,Image,Location,Province,Remarks,Retail Space (m2),Year opened
Mall of Alnor (MOA),Alnor Prime Properties,,,Cotabato City,,,Maguindanao,,,
CityMall Cotabato,DoubleDragon Properties,,,Cotabato City,,,Maguindanao,The biggest CityMall at its opening in terms of GFA (with regards to Grand CityMalls) and the 1st national retail mall in Cotabato City.[2],,
South Seas Mall,,,,Cotabato City,,,Maguindanao,,,
Puregold and Centro Shopping Center,Lucio and Susan Co,,,Cotabato City,,,Maguindanao,Puregold has 2 branches in Cotabato City in along Sinsuat Avenue and the other one is along Quezon Avenue,,
Superama Hypermart,Tan Abing,,,Cotabato City,,,Maguindanao,"Home grown hypermart in Cotabato City, currently has 5 branches in Cotabato City",,
Fiesta Mall,Unknown businessman from Manila,,,Cotabato City,,,Maguindanao,Known for its Chinese products and 2nd branch of Puregold in Cotabato City,,
101 Shopping Center[citation needed],,,,Naga,,,Camarines Sur,,,
101 Shopping Mall[3],,,,Legazpi,,,Albay,,,
A. Bichara Silverscreen Entertainment Center[4],ABSEC,,,Legazpi,,,Albay,,,
ALDP Mall[5],,,,Naga,,,Camarines Sur,,,
E-Mall[citation needed],,,,Naga,,,Camarines Sur,,,
Grand Master Mall[citation needed],,,,Naga,,,Camarines Sur,,,
Avenue Square[citation needed],,,,Naga,,,Camarines Sur,,,
Ayala Malls Legazpi[citation needed],Ayala Land,,,Legazpi,,,Albay,,,
Bichara Mall Naga[6],,,,Naga,,,Camarines Sur,,,
Central Plaza Mall[citation needed],,,,Daet,,,Camarines Norte,,,
CityMall Sorsogon[citation needed],DoubleDragon Properties,,,Sorsogon City,,,Sorsogon,,,
Embarcadero de Legazpi[citation needed],Sunwest,,,Legazpi,,,Albay,,,
Gaisano Capital Masbate[citation needed],,,,Masbate City,,,Masbate,,,
Gaisano Capital Iriga[citation needed],,,,Iriga,,,Camarines Sur,,,
Gaisano Capital Sorsogon[citation needed],,,,Sorsogon City,,,Sorsogon,,,
Gregorian Mall[7],,,,Legazpi,,,Albay,,,
LCC Center Libmanan[citation needed],,,,Libmanan,,,Camarines Sur,,,
LCC Center Goa,,,,Goa,,,Camarines Sur,,,
LCC Pili[citation needed],,,,Pili,,,Camarines Sur,,,
LCC Calabanga[citation needed],,,,Calabanga,,,Camarines Sur,,,
LCC Mall Daraga,,,,Daraga,,,Albay,,,
LCC Center Guinobatan,,,,Guinobatan,,,Albay,,,
LCC Center Ligao,,,,Ligao,,,Albay,,,
LCC Mall Polangui,,,,Polangui,,,Albay,,,
LCC Center Sorsogon,,,,Sorsogon City,,,Sorsogon,,,
LCC Market Plus Labo,,,,Labo,,,Camarines Norte,,,
LCC Market Plus Pio Duran,,,,Pio Duran,,,Albay,,,
LCC Mall Tabaco,,,,Tabaco,,,Albay,,,
LCC Center Daet,,,,Daet,,,Camarines Norte,,,
LCC Center Masbate,,,,Masbate City,,,Masbate,,,
LCC Central Mall Naga,Liberty Commercial Center Inc.,,,Naga,,,Camarines Sur,,,
LCC Mall Iriga[citation needed],,,,Iriga,,,Camarines Sur,,,
LCC Mall Legazpi[citation needed],,,,Legazpi,,,Albay,,,
LCC Mall Nabua[citation needed],,,,Nabua,,,Camarines Sur,,,
Pacific Mall Legazpi[8],Landco Development Corp.,,,Legazpi,,,Albay,,,
Primark Town Center Sorsogon[citation needed],,,,Sorsogon City,,,Sorsogon,,,
Regent Central Commercial Complex[citation needed],Regent Land Developer Corp.,,,Iriga,,,Camarines Sur,,,
Robinsons Place Naga[9],Robinsons Land,,,Naga,,,Camarines Sur,,,
SM City Legazpi,SM Prime Holdings,,,Legazpi,,,Albay,,,
SM City Sorsogon,SM Prime Holdings,,,Sorsogon City,,,Sorsogon,,,
SM City Naga,SM Prime Holdings,,,Naga,,,Camarines Sur,,,
Vista Mall Naga[10],Vista Land & Lifescapes,,,Naga,,,Camarines Sur,,,
Tabaco CityMall[citation needed],,,,Tabaco,,,Albay,,,
Virac Town Center[11],VTC Development Corp.,,,Virac,,,Catanduanes,,,
Xentro Mall Malilipot,,,,Malilipot,,,Albay,,,
Xentro Mall Polangui,,,,Polangui,,,Albay,,,
Xentro Mall Sorsogon,,,,Sorsogon City,,,Sorsogon,,,
Yashano Mall,,,,Legazpi,,,Albay,,,
Youth Center Mall[12],,,,Virac,,,Catanduanes,,,
Brickstone Mall[citation needed],,,,Tuguegarao,,,Cagayan,,,
Mall of the Valley[13],,,,Tuguegarao,,,Cagayan,Managed by Xentro Mall,,
Fragante Citimall[citation needed],,,,Tuguegarao,,,Cagayan,First shopping mall in North Luzon,,
Valley Hotel Tower Mall,,,,Tuguegarao,,,Cagayan,Completion 2018,,
Unitop Mall Tuguegarao[citation needed],RI-RANCE Realty Corp.,,,Tuguegarao,,,Cagayan,First Unitop Mall in Cagayan Valley,,
Novo Mall,Royal Novo Greenland Realty Corp.,,,Aparri,,,Cagayan,,,
Ryan Mall,,,,Aparri,,,Cagayan,,,
Ilagan City Mall[citation needed],,,,Ilagan,,,Isabela,The First LGU-built shopping mall in Ilagan. Savemore is one of the anchor tenants.,,
Northstar Mall[14],Northstar Resources Inc.,,,Ilagan,,,Isabela,First Mall in Ilagan. Savemore is one of the anchor tenants.,,
Primark Town Center Tuguegarao[15],Primark Philippine Properties,,,Tuguegarao,,,Cagayan,Former Paseo Reale Mall,,
Primark Town Center Cauayan[16],Primark Philippine Properties,,,Cauayan,,,Isabela,Market Mall,,
Primark Town Center Echague[16],Primark Philippine Properties,,,Echague,,,Isabela,"Market Mall, first Primark Town Center in the Philippines",,
Primark Town Center Bambang[16],Primark Philippine Properties,,,Bambang,,,Nueva Vizcaya,Market Mall,,
Primark Town Center Cordon[16],Primark Philippine Properties,,,Cordon,,,Isabela,Market Mall,,
Robinsons Place Santiago,Robinsons Land,,,Santiago,,,Isabela,First Robinsons Mall and 1st full-service mall in Cagayan Valley.,,
Robinsons Place Tuguegarao,Robinsons Land,,,Tuguegarao,,,Cagayan,Second Robinsons Mall in Cagayan Valley and First Robinsons Mall in Cagayan,,
Vista Mall Santiago,Vista Land & Lifescapes,,,Santiago,,,Isabela,"Under construction, First Vista Mall in Isabela",,
Vista Mall Tuguegarao,Vista Land & Lifescapes,,,Tuguegarao,,,Cagayan,Upcoming,,
SM City Tuguegarao[citation needed],SM Prime Holdings,,,Tuguegarao,,,Cagayan,"Under construction, Second SM Mall in Tuguegarao City",,
SM Center Tuguegarao Downtown,SM Prime Holdings,,,Tuguegarao,,,Cagayan,Second SM Mall in Cagayan Valley and First SM Mall in Cagayan,,
SM City Cauayan,SM Prime Holdings,,,Cauayan,,,Isabela,First SM Mall in Cagayan Valley. Former site of Isabela Colleges Foundation. 1st SM Mall with full solar panels.,,
Talavera Square Mall[17],,,,Cauayan,,,Isabela,First mall in Cauayan City. Unitop is one of the anchor tenants.,,
Talavera Square Mall[citation needed],,,,Ilagan,,,Isabela,Robinsons Supermarket is one of the anchor tenants.,,
Xentro Mall Cabagan[citation needed],AMRC Holdings Co. Inc.,,,Cabagan,,,Isabela,,,
Xentro Mall Ilagan[citation needed],AMRC Holdings Co. Inc.,,,Ilagan,,,Isabela,,,
Xentro Mall Roxas[citation needed],AMRC Holdings Co. Inc.,,,Roxas,,,Isabela,,,
Xentro Mall Santiago[citation needed],AMRC Holdings Co. Inc.,,,Santiago,,,Isabela,First Xentro Mall in Cagayan Valley and in the Philippines,,
Xentro Mall Tumauini[citation needed],AMRC Holdings Co. Inc.,,,Tumauini,,,Isabela,,,
CityMall Tuguegarao[citation needed],"DoubleDragon Properties, SM Investments Corporation",,,Tuguegarao,,,Cagayan,"Under construction, First CityMall in Cagayan Valley",,
CityMall Aparri,"DoubleDragon Properties, SM Investments Corporation",,,Aparri,,,Cagayan,"Under construction, Second CityMall in Cagayan Valley",,
Robinsons Place Dasmariñas,Robinsons Land,96000,,Dasmariñas,,,Cavite,Second Robinsons mall in Cavite,,
Sta. Lucia East Grand Mall,Sta. Lucia Realty & Development Inc.,230000,,Cainta,,,Rizal,Largest mall in South Luzon,,
SM City Bacoor[18],SM Prime Holdings,120202,,Bacoor,,,Cavite,First SM mall in Cavite,,
SM City Batangas,SM Prime Holdings,80350,,Batangas City,,,Batangas,First SM mall in Batangas,,
SM City Dasmariñas,SM Prime Holdings,201645,,Dasmariñas,,,Cavite,Largest shopping mall in Cavite Province and SM mall in South Luzon,,
SM City Lipa,SM Prime Holdings,141283,,Lipa,,,Batangas,Largest mall in Batangas,,
SM City Masinag,SM Prime Holdings,96313,,Antipolo,,,Rizal,Second SM mall in Rizal,,
SM City Santa Rosa,SM Prime Holdings,86463,,Santa Rosa,,,Laguna,"First SM Mall in Laguna, and largest mall in the provinceMall expansion ongoing construction",,
SM City Taytay,SM Prime Holdings,97467,,Taytay,,,Rizal,First SM Mall in Rizal,,
SM City Trece Martires,SM Prime Holdings,83783,,Trece Martires,,,Cavite,Fifth SM mall in Cavite,,
Name,Developer,Floor area (m²),,City/municipality,Image,,Province,Remarks,,
Centro Mall Cabuyao,,,,Cabuyao,,,Laguna,,,
Checkpoint Mall,,,,Calamba,,,Laguna,,,
Olivarez Plaza Los Baños,,,,Los Baños,,,Laguna,,,
Pavilion Mall,Ayala Land (operator),,,Biñan,,,Laguna,,,
Robinsons Place GenTrias,Robinsons Land,,,General Trias,,,Cavite,,,
Robinsons Place Imus,Robinsons Land,,,Imus,,,Cavite,,,
Robinsons Place Lipa,Robinsons Land,,,Lipa,,,Batangas,,,
Robinsons Cainta,Robinsons Land,,,Cainta,,,Rizal,,,
Robinsons Sta. Rosa,Robinsons Land,,,Santa Rosa,,,Laguna,"Formerly called Robinsons Place Sta. Rosa, where the Robinsons Department Store at the second floor was closed and occupied by the Teletech BPO",,
Robinsons Town Mall Los Baños,Robinsons Land,,,Los Baños,,,Laguna,,,
SM Center Angono,SM Prime Holdings,,,Angono,,,Rizal,Third SM mall in Rizal,,
SM City Calamba,SM Prime Holdings,,,Calamba,,,Laguna,Third SM mall in Laguna,,
SM City Lucena,SM Prime Holdings,,,Lucena,,,Quezon,Largest mall in Quezon Province,,
SM City Molino[19],SM Prime Holdings,,,Bacoor,,,Cavite,Third SM mall in Cavite and Second SM mall in BacoorFormerly called SM Supercenter Molino/SM Center Molino with the opening of The SM Store Molino on 2015,,
SM City Rosario,SM Prime Holdings,,,Rosario,,,Cavite,Fourth SM mall in Cavite,,
SM City San Pablo,SM Prime Holdings,,,San Pablo,,,Laguna,Second SM mall in Laguna,,
The District Dasmariñas,Ayala Land,,,Dasmariñas,,,Cavite,,,
The District Imus,Ayala Land,,,Imus,,,Cavite,First Ayala Mall in Cavite[citation needed],,
Victory Central Mall Sta. Rosa,,,,Santa Rosa,,,Laguna,,,
Vista Mall Antipolo,Vista Land & Lifescapes,,,Antipolo,,,Rizal,,,
Vista Mall Daang Hari,Vista Land & Lifescapes,,,Bacoor,,,Cavite,,,
Vista Mall Dasmariñas,Vista Land & Lifescapes,,,Dasmariñas,,,Cavite,,,
Vista Mall General Trias,Vista Land & Lifescapes,,,General Trias,,,Cavite,,,
Vista Mall Sta. Rosa,Vista Land & Lifescapes,,,Santa Rosa,,,Laguna,,,
Vista Mall Tanza,Vista Land & Lifescapes,,,Tanza,,,Cavite,,,
Walter Mart Balayan,WM Property Management Inc. and SM Investment Corp.,,,Batangas,,,Batangas,,,
Walter Mart Cabuyao,WM Property Management Inc. and SM Investment Corp.,,,Cabuyao,,,Laguna,,,
Walter Mart Carmona,WM Property Management Inc. and SM Investment Corp.,,,Carmona,,,Cavite,,,
Walter Mart Calamba,WM Property Management Inc. and SM Investment Corp.,,,Calamba,,,Laguna,,,
Walter Mart Dasmariñas,WM Property Management Inc. and SM Investment Corp.,,,Dasmariñas,,,Cavite,,,
Walter Mart General Trias,WM Property Management Inc. and SM Investment Corp.,,,General Trias,,,Cavite,,,
Walter Mart Makiling,WM Property Management Inc. and SM Investment Corp.,,,Calamba,,,Laguna,,,
Walter Mart Nasugbu,WM Property Management Inc. and SM Investment Corp.,,,Nasugbu,,,Batangas,,,
Walter Mart Sta. Rosa (Balibago),WM Property Management Inc. and SM Investment Corp.,,,Santa Rosa,,,Laguna,,,
Walter Mart Sta. Rosa Bel-Air,WM Property Management Inc. and SM Investment Corp.,,,Santa Rosa,,,Laguna,"Second Walter Mart Mall in Sta. Rosa, Laguna",,
Walter Mart Tanauan,WM Property Management Inc. and SM Investment Corp.,,,Tanauan,,,Batangas,,,
Walter Mart Taytay,WM Property Management Inc. and SM Investment Corp.,,,Taytay,,,Rizal,,,
Walter Mart Trece Martires,WM Property Management Inc. and SM Investment Corp.,,,Trece Martires,,,Cavite,,,
Xentro Mall Antipolo,,,,Antipolo,,,Rizal,1st Xentro Mall in Rizal,,
Xentro Mall Lemery,,,,Lemery,,,Batangas,,,
Name,Developer,,,City/municipality,,,Province,Remarks,,
Ayala Malls Solenad,Ayala Land,,,Santa Rosa,,,Laguna,,,
Ayala Malls Serin,Ayala Land,,,Tagaytay,,,Cavite,,,
Fora Mall,Filinvest Land,,,Tagaytay,,,Cavite,First mall in Tagaytay with cinemas,,
Galleria South,Robinsons Land,,,San Pedro,,,Laguna,"First Robinsons Galleria mall in South Luzon/Calabarzon and 3rd in the Philippines.First Robinsons mall not to use the ""Robinsons"" name since Robinsons Tagaytay was formerly called Summit Ridge Promenade.The mall has an art in every corner that makes it unique and colorful.[20]",,
NOMO - A Vista Lifestyle Center,Vista Land & Lifescapes,,,Bacoor,,,Cavite,,,
Robinsons Place Antipolo,Robinsons Land,,,Antipolo,,,Rizal,,,
Robinsons Tagaytay,Robinsons Land,,,Tagaytay,,,Cavite,Formerly named Summit Ridge Promenade,,
Southwoods Mall,Megaworld,,,Biñan,,,Laguna,,,
Name,Developer,,,City/municipality,,,Province,Remarks,,
Laguna Central,Greenfield Estates,,,Santa Rosa,,,Laguna,,,
Paseo de Sta. Rosa,Greenfield Estates,,,Santa Rosa,,,Laguna,,,
Name,Developer,,,City/municipality,,,Province,Remarks,,
Gaisano Capital Bislig,Gaisano,,,Bislig,,,Surigao del Sur,,,
Gaisano Capital Surigao,Gaisano,,,Surigao City,,,Surigao del Norte,,,
Gaisano Capital San Francisco[citation needed],Gaisano,,,San Francisco,,,Agusan del Sur,,,
Gaisano Capital Tandag,Gaisano,,,Tandag,,,Surigao del Sur,,,
Gaisano Grand Marketplace Bayugan[citation needed],Gaisano,,,Bayugan,,,Agusan del Sur,,,
Gaisano Mall Butuan[citation needed],Gaisano,,,Butuan,,,Agusan del Norte,,,
Gaisano Grand Mall San Francisco[citation needed],Gaisano,,,San Francisco,,,Agusan del Sur,,,
Gaisano Grand Mall Tandag (Soon to Rise),,,,Tandag,,,Surigao del Sur,,,
Prince Town[citation needed],,,,Bislig,,,Surigao del Sur,,,
Robinsons Place Butuan,Robinsons Land,,,Butuan,,,Agusan del Norte,Largest Robinsons Mall in Mindanao and The Caraga region,,
Puregold Butuan,,,,Butuan,,,Agusan del Norte,,,
ZCC Mall,,,,Butuan,,,Agusan del Norte,,,
Balagtas Town Center[citation needed],AMRC Holdings Co. Inc.,,,Balagtas,,,Bulacan,,,
C&S Shopping Complex Tarlac[citation needed],,,,Tarlac City,,,Tarlac,,,
Cindys Plaza Tarlac[citation needed],,,,Tarlac City,,,Tarlac,,,
CityMall Dau[citation needed],DoubleDragon Properties,,,Mabalacat,,,Pampanga,,,
"CityMall Sta. Rosa, Nueva Ecija[citation needed]",DoubleDragon Properties,,,Santa Rosa,,,Nueva Ecija,First CityMall in Nueva Ecija,,
CityMall SCTEX Concepcion[citation needed],DoubleDragon Properties,,,Concepcion,,,Tarlac,First CityMall in Tarlac,,
CityMall Tarlac City[citation needed],DoubleDragon Properties,,,"McArthur Hiway, Tarlac City",,,Tarlac,Second CityMall in Tarlac,,
Citywalk Mall Tarlac[citation needed],,,,Tarlac City,,,Tarlac,,,
Fiesta Mall Paniqui[citation needed],,,,Paniqui,,,Tarlac,,,
GraceLand Mall[citation needed],GraceLand23 Inc.,,,Malolos,,,Bulacan,,,
Harbor Point,Ayala Land,,,Olongapo,,,Zambales,,,
Magic Mall Malasin San Jose City[citation needed],Magic Group of Companies,,,San Jose,,,Nueva Ecija,Second Magic Mall in Nueva Ecija,,
Magic Mall Rizal San Jose City[citation needed],Magic Group of Companies,,,San Jose,,,Nueva Ecija,First Magic Mall in Nueva Ecija,,
Magic Star Mall Tarlac[citation needed],SMCT Realty & Holdings Co. Inc.,,,Tarlac City,,,Tarlac,,,
Magic Star Mall Paniqui[citation needed],SMCT Realty & Holdings Co. Inc.,,,Paniqui,,,Tarlac,,,
Market City Tarlac[citation needed],,,,Tarlac City,,,Tarlac,,,
My Metro Town Mall Tarlac[citation needed],,,,"Sto. Cristo, Tarlac City",,,Tarlac,,,
NE Mall[citation needed],NE Group of Companies,,,Cabanatuan,,,Nueva Ecija,First Mall in Nueva Ecija,,
NE Pacific Mall,NE Group of Companies and Landco Pacific Corp.,,,Cabanatuan,,,Nueva Ecija,First Full-Service Mall in Nueva Ecija,,
NE Super Bodega[citation needed],Cosco Capital,,,San Jose,,,Nueva Ecija,,,
Primark Town Center Cabiao[21],Primark Philippine Properties,,,Cabiao,,,Nueva Ecija,First Primark Town Center in Nueva Ecija,,
Primark Village Center San Jose del Monte[22],Primark Philippine Properties,,,San Jose del Monte,,,Bulacan,,,
Primark Town Center Plaridel[23],Primark Philippine Properties,,,Plaridel,,,Bulacan,,,
Primark Town Center Gerona,Primark Philippine Properties,,,Gerona,,,Tarlac,,,
Robinsons Luisita[citation needed],Robinsons Land,,,San Miguel,,,Tarlac,,,
Robinsons Place Malolos[citation needed],Robinsons Land,,,Malolos,,,Bulacan,First Full-Service Mall in the First district of Bulacan.,,
Robinsons Starmills Pampanga[citation needed],Robinsons Land,,,San Fernando,,,Pampanga,,,
Robinsons Townville Cabanatuan,Robinsons Land,,,Cabanatuan,,,Nueva Ecija,First Robinsons Mall in Nueva Ecija,,
Robinsons Townville Pulilan[citation needed],Robinsons Land,,,Pulilan,,,Bulacan,,,
SM City Baliwag,SM Prime Holdings,,,Baliuag,,,Bulacan,Second SM Mall in Bulacan,,
SM City Cabanatuan,SM Prime Holdings,,,Cabanatuan,,,Nueva Ecija,Second SM Mall in Cabanatuan. One of the biggest malls in Central Luzon.,,
SM City Marilao,SM Prime Holdings,,,Marilao,,,Bulacan,First SM Mall in Bulacan,,
SM City Olongapo,SM Prime Holdings,,,Olongapo,,,Zambales,,,
SM City San Jose del Monte,SM Prime Holdings,,,San Jose del Monte,,,Bulacan,Third SM Mall in Bulacan,,
SM City Tarlac,SM Prime Holdings,,,Tarlac City,,,Tarlac,,,
SM City Pampanga,SM Prime Holdings,,,San Fernando City and Mexico,,,Pampanga,,,
SM City San Fernando Downtown,SM Prime Holdings,,,San Fernando City,,,Pampanga,,,
SM City Telabastagan,SM Prime Holdings,,,San Fernando City,,,Pampanga,"Fourth SM Mall in Pampanga and Third SM Mall in San Fernando, Pampanga",,
SM Megacenter Cabanatuan,SM Prime Holdings,,,Cabanatuan,,,Nueva Ecija,Originally known as Megacenter the Mall. SM Prime acquired the mall from CHAS Realty and Development Corp. in 2013 becoming the First SM Mall in Cabanatuan.,,
SM Center Pulilan,SM Prime Holdings,,,Pulilan,,,Bulacan,Fourth SM Mall in Bulacan,,
Starmall San Jose del Monte[citation needed],Vista Land & Lifescapes,,,San Jose del Monte,,,Bulacan,,,
Tarlac Central Mall[citation needed],,,,Tarlac City,,,Tarlac,,,
Tarlac Central Mall[citation needed],,,,Tarlac City,,,Tarlac,,,
Vista Mall Malolos,Vista Land & Lifescapes,,,Malolos,,,Bulacan,,,
Walter Mart Concepcion,Walter Mart Inc.,,,Concepcion,,,Tarlac,First Walter Mart in Tarlac.,,
Walter Mart Gapan,Walter Mart Inc.,,,Gapan,,,Nueva Ecija,First Walter Mart in Nueva Ecija.,,
Walter Mart Guiguinto,Walter Mart Inc.,,,Guiguinto,,,Bulacan,,,
Walter Mart Paniqui,Walter Mart Inc.,,,Paniqui,,,Tarlac,Second Walter Mart in Tarlac.,,
Walter Mart Plaridel,Walter Mart Inc.,,,Plaridel,,,Bulacan,,,
Walter Mart San Jose,Walter Mart Inc.,,,San Jose,,,Nueva Ecija,Fourth Walter Mart in Nueva Ecija.,,
Walter Mart Sta. Maria,Walter Mart Inc.,,,Santa Maria,,,Bulacan,,,
Walter Mart Talavera,Walter Mart Inc.,,,Talavera,,,Nueva Ecija,Third Walter Mart in Nueva Ecija.,,
Walter Mart Capas (Soon),Walter Mart Inc.,,,Capas,,,Tarlac,Third Walter Mart in Tarlac.,,
138 Mall[24],Formerly known as Plaza Fair,,,Cebu City,,,Cebu,,,
AH Shoppers' Mart[25],AH Shoppers' Mart Inc.,,,Tagbilaran,,,Bohol,,,
Alturas Mall[26],Alturas Supermarket Corp.,,,Tagbilaran,,,Bohol,,,
Alturas Mall Talibon[27],Alturas Supermarket Corp.,,,Talibon,,,Bohol,,,
Alturas Tubigon[28],Alturas Supermarket Corp.,,,Tubigon,,,Bohol,,,
APM Shopping Mall[citation needed],,,,Cebu City,,,Cebu,,,
Ayala Center Cebu,Ayala Land,,,Cebu City,,,Cebu,The 1st Ayala mall outside of Metro Manila; opened in 1994.,,
